nom,site,ville,type,statut,poste_vise,adresse,code_postal,siren
Agence Cassian,,Paris 75011,agence_com_engagee,ecartee,,103 boulevard de Charonne,75011,
Agence LIMITE,https://agence-limite.fr,Paris 75010,agence_com_engagee,ecartee,,,,
L'agence RUP,https://lagencerup.fr,Paris 75011,scop,ecartee,Développeur WordPress / Intégrateur,,,
Econovia,https://econovia.fr,Nogent-sur-Marne 94,agence_com_engagee,ecartee,,,,
Agence Jaam,https://agence-jaam.fr,Paris,agence_com_engagee,ecartee,,,,
Livementor,https://livementor.com,,agence_com_engagee,a_qualifier,,,,
10MentionWeb,https://www.10mentionweb.org,,formation_organisation,retenue,,"80 Bd de Reuilly, 75012 Paris",75012,
Le Garage Numérique,https://legaragenumerique.fr,,formation_organisation,retenue,,"4 Pl. Henri Matisse, 75020 Paris",75020,
PumpUp,https://pumpup.fr,,agence_com_engagee,a_qualifier,,,,
agence2web.com,https://agence2web.com,,agence_com_engagee,a_qualifier,,,,
Opus agence WordPress,https://opus.paris,,agence_com_engagee,a_qualifier,,,,
epixelic.com,https://epixelic.com,,agence_com_engagee,a_qualifier,,,,
